_unit_id,sidewalk_ok,sidewalk_ok_confidence,address,lat,long,sidewalk_ok_gold,sidewalk_ok_gold_reason,street,city,state_zip,country,state,zip
752055128,yes,0.9225,"4210 Southwest 167th Avenue, Beaverton, OR 97007, USA",45.489486,-122.848955,yes,"There is a sidewalk available, it does look safe and wide enough",4210 Southwest 167th Avenue,Beaverton,OR 97007,USA,OR,97007
752055129,no,0.961,"4761 Southwest Martha Street, Portland, OR 97221, USA",45.4852149,-122.726314,no,The sidewalk/pedestrian path is not safe for wheelchairs ��� it is not continuous or not wide enough or there seems to be other issues with the sidewalk,4761 Southwest Martha Street,Portland,OR 97221,USA,OR,97221
752055130,yes,0.9642,"1545 Southwest Nancy Drive, Gresham, OR 97080, USA",45.484122,-122.472306,yes,"There is a sidewalk available, it does look safe and wide enough",1545 Southwest Nancy Drive,Gresham,OR 97080,USA,OR,97080
752055131,yes,0.9611,"4990 Southwest 188th Place, Aloha, OR 97007, USA",45.483409,-122.870494,"","There is a sidewalk available, it does look safe and wide enough",4990 Southwest 188th Place,Aloha,OR 97007,USA,OR,97007
752055132,yes,0.8304,"2089 Southwest Nancy Drive, Gresham, OR 97080, USA",45.4822119,-122.476723,"","",2089 Southwest Nancy Drive,Gresham,OR 97080,USA,OR,97080
752055133,yes,0.9572,"189-211 Glynbrook Street North, Keizer, OR 97303, USA",44.97855,-123.0278,"","",189-211 Glynbrook Street North,Keizer,OR 97303,USA,OR,97303
752055134,"","","1665 Silverton Road Northeast, Salem, OR 97301, USA",44.9619031,-123.0117194,"","",1665 Silverton Road Northeast,Salem,OR 97301,USA,OR,97301
"not_avail\"","","","","","","","","","","","","",""
752055135,yes,1,"2241 Chapman Hill Drive Northwest, Salem, OR 97304, USA",44.956569,-123.0774408,yes,"There is a sidewalk available, it does look safe and wide enough",2241 Chapman Hill Drive Northwest,Salem,OR 97304,USA,OR,97304
752055136,yes,0.8894,"3065 Briana Court Northwest, Salem, OR 97304, USA",44.94748,-123.092732,yes,"There is a sidewalk available, it does look safe and wide enough",3065 Briana Court Northwest,Salem,OR 97304,USA,OR,97304
752055137,"","","2100 Turner Road Southeast, Salem, OR 97302, USA",44.915191,-122.997308,"","",2100 Turner Road Southeast,Salem,OR 97302,USA,OR,97302
752055138,"","","4780 Croisan Creek Road South, Salem, OR 97302, USA",44.88736,-123.08247,"","",4780 Croisan Creek Road South,Salem,OR 97302,USA,OR,97302
752055139,"","","405 Northeast Circle Boulevard, Corvallis, OR 97330, USA",44.5900044,-123.2517238,"","",405 Northeast Circle Boulevard,Corvallis,OR 97330,USA,OR,97330
